JMonth, MeanPrecip, Delta
13,53.69,-97.06
14,11.79,-149.54
15,53.84,-97.07
16,128.07,77.57
17,45.99,-52.78
18,43.02,-38.76
19,101.48,26.40
20,50.34,-121.04
21,40.00,-59.19
22,34.57,-48.82
23,41.24,-56.23
24,42.71,-104.40
25,125.74,72.05
26,28.22,16.43
27,118.59,64.75
28,14.98,-113.09
29,90.67,44.68
30,106.68,63.66
31,78.61,-22.87
32,200.94,150.60
33,98.38,58.38
34,72.45,37.88
35,0.00,-41.24
36,16.58,-26.13
37,186.04,60.30
38,151.37,123.15
39,142.88,24.29
40,54.22,39.24
41,125.12,34.45
42,79.91,-26.77
43,59.88,-18.73
44,84.54,-116.40
45,33.55,-64.83
46,45.30,-27.15
47,126.09,126.09
48,38.63,22.05
49,72.81,-113.23
50,0.02,-151.35
51,55.63,-87.25
52,110.26,56.04
53,92.16,-32.96
54,65.48,-14.43
55,85.59,25.71
56,38.74,-45.80
57,55.05,21.50
58,29.70,-15.60
59,157.88,31.79
60,168.01,129.38
61,166.80,93.99
62,95.56,95.54
63,186.52,130.89
64,40.86,-69.40
65,49.07,-43.09
66,117.04,51.56
67,220.71,135.12
68,81.20,42.46
69,71.56,16.51
70,111.55,81.85
71,308.36,150.48
72,184.81,16.80
73,163.47,-3.33
74,122.55,26.99
75,82.58,-103.94
76,91.34,50.48
77,183.02,133.95
78,71.49,-45.55
79,303.00,82.29
80,87.72,6.52
81,143.52,71.96
82,37.77,-73.78
83,62.60,-245.76
84,51.85,-132.96
85,50.20,-113.27
86,41.26,-81.29
87,16.21,-66.37
88,160.31,68.97
89,19.88,-163.14
90,66.29,-5.19
91,129.97,-173.03
92,52.61,-35.11
93,49.88,-93.64
94,77.95,40.18
95,160.59,97.99
96,103.91,52.06
97,98.67,48.47
98,30.42,-10.84
99,166.70,150.49
100,96.83,-63.48
101,218.35,198.47
102,118.82,52.53
103,73.02,-56.95
104,146.50,93.89
105,81.38,31.50
106,8.19,-69.76
107,17.22,-143.37
108,67.26,-36.65
109,41.37,-57.30
110,19.32,-11.10
111,85.57,-81.13
112,33.77,-63.06
113,130.49,-87.86
114,79.25,-39.57
115,78.04,5.02
116,217.16,70.66
117,140.10,58.72
118,68.43,60.24
119,152.86,135.64
120,19.38,-47.88
121,20.83,-20.54
122,271.37,252.05
123,23.28,-62.29
124,125.01,91.24
125,95.21,-35.28
126,75.78,-3.47
127,107.38,29.34
128,114.36,-102.80
129,97.20,-42.90
130,126.81,58.38
131,77.65,-75.21
132,216.14,196.76
133,75.30,54.47
134,63.56,-207.81
135,151.55,128.27
