JMonth, TMax, Bin, TMaxPos, TMaxNeg
1,-2.21,-1,,-2.21
2,4.81,1,4.81,
3,1.49,1,1.49,
4,3.08,1,3.08,
5,4.19,1,4.19,
6,2.47,1,2.47,
7,-1.03,-1,,-1.03
8,-1.03,-1,,-1.03
9,-0.71,-1,,-0.71
10,-2.35,-1,,-2.35
11,1.39,1,1.39,
12,0.61,1,0.61,
13,-4.64,-1,,-4.64
14,-2.37,-1,,-2.37
15,-0.64,-1,,-0.64
16,-1.33,-1,,-1.33
17,4.02,1,4.02,
18,5.64,1,5.64,
19,-1.78,-1,,-1.78
20,2.99,1,2.99,
21,2.63,1,2.63,
22,-2.91,-1,,-2.91
23,3.43,1,3.43,
24,7.16,1,7.16,
25,8.07,1,8.07,
26,-11.03,-1,,-11.03
27,2.46,1,2.46,
28,4.77,1,4.77,
29,0.27,1,0.27,
30,-3.16,-1,,-3.16
31,-0.86,-1,,-0.86
32,-3.73,-1,,-3.73
33,-4.69,-1,,-4.69
34,3.64,1,3.64,
35,2.68,1,2.68,
36,-6.12,-1,,-6.12
37,9.52,1,9.52,
38,2.96,1,2.96,
39,-0.59,-1,,-0.59
40,-2.48,-1,,-2.48
41,-4.86,-1,,-4.86
42,2.89,1,2.89,
43,0.27,1,0.27,
44,-1.20,-1,,-1.20
45,5.35,1,5.35,
46,1.20,1,1.20,
47,7.55,1,7.55,
48,-2.68,-1,,-2.68
49,-6.81,-1,,-6.81
50,9.59,1,9.59,
51,4.51,1,4.51,
52,1.49,1,1.49,
53,2.14,1,2.14,
54,2.13,1,2.13,
55,3.45,1,3.45,
56,1.55,1,1.55,
57,-0.07,-1,,-0.07
58,3.89,1,3.89,
59,-8.67,-1,,-8.67
60,3.28,1,3.28,
61,6.06,1,6.06,
62,6.54,1,6.54,
63,3.30,1,3.30,
64,-0.77,-1,,-0.77
65,-1.27,-1,,-1.27
66,-6.07,-1,,-6.07
67,-2.86,-1,,-2.86
68,-7.48,-1,,-7.48
69,-0.36,-1,,-0.36
70,1.52,1,1.52,
71,-9.39,-1,,-9.39
72,-0.71,-1,,-0.71
73,-6.55,-1,,-6.55
74,-6.54,-1,,-6.54
75,-5.88,-1,,-5.88
76,-6.65,-1,,-6.65
77,-3.88,-1,,-3.88
78,-2.07,-1,,-2.07
79,-2.41,-1,,-2.41
80,0.24,1,0.24,
81,-4.91,-1,,-4.91
82,-2.61,-1,,-2.61
83,-4.54,-1,,-4.54
84,3.63,1,3.63,
85,-2.79,-1,,-2.79
86,-3.19,-1,,-3.19
87,5.22,1,5.22,
88,0.42,1,0.42,
89,0.95,1,0.95,
90,4.11,1,4.11,
91,-2.85,-1,,-2.85
92,0.14,1,0.14,
93,-0.93,-1,,-0.93
94,1.59,1,1.59,
95,-0.15,-1,,-0.15
96,3.69,1,3.69,
97,-0.46,-1,,-0.46
98,4.70,1,4.70,
99,-1.60,-1,,-1.60
100,-3.11,-1,,-3.11
101,-7.94,-1,,-7.94
102,-2.80,-1,,-2.80
103,0.74,1,0.74,
104,1.24,1,1.24,
105,-3.04,-1,,-3.04
106,2.56,1,2.56,
107,-0.68,-1,,-0.68
108,-1.37,-1,,-1.37
109,-2.30,-1,,-2.30
110,3.73,1,3.73,
111,-5.54,-1,,-5.54
112,0.78,1,0.78,
113,0.33,1,0.33,
114,1.58,1,1.58,
115,-1.41,-1,,-1.41
116,-3.97,-1,,-3.97
117,-4.42,-1,,-4.42
118,-0.37,-1,,-0.37
119,-8.23,-1,,-8.23
120,0.60,1,0.60,
121,-1.43,-1,,-1.43
122,-1.94,-1,,-1.94
123,3.83,1,3.83,
124,-5.50,-1,,-5.50
125,-2.10,-1,,-2.10
126,-0.97,-1,,-0.97
127,-1.72,-1,,-1.72
128,-3.17,-1,,-3.17
129,0.76,1,0.76,
130,0.21,1,0.21,
131,-3.51,-1,,-3.51
132,-1.51,-1,,-1.51
133,-0.16,-1,,-0.16
134,2.79,1,2.79,
135,-9.72,-1,,-9.72
136,-3.31,-1,,-3.31
