JMonth,TMax, Delta
18,5.64,3.17
24,7.16,6.55
25,8.07,12.71
37,9.52,1.45
45,5.35,10.04
47,7.55,4.87
50,9.59,6.63
61,6.06,12.87
62,6.54,-3.05
141,6.21,5.45
146,6.98,4.19
155,11.10,8.33
158,6.36,-0.62
164,9.03,8.98
165,6.20,10.22
179,7.16,13.46
180,8.22,19.60
181,5.52,6.80
229,14.08,17.99
232,7.51,6.77
240,5.85,8.55
243,8.82,7.64
266,7.93,14.04
295,8.88,9.79
301,8.51,12.99
303,11.76,13.48
304,5.33,4.50
305,6.89,8.53
307,9.69,0.81
311,5.39,5.16
348,6.71,7.16
350,7.34,13.70
351,7.74,5.18
354,5.72,3.80
358,5.38,2.31
359,9.17,3.94
